type,omschrijving
BEGNEGS00071001,EUROPORTS TERMINALS GENT NV|KAAIEN 270-290|9000|GENT|Pakhuis|
BEGNEGS00071002,EUROPORTS TERMINALS GENT NV|KAAIEN 270-290|9000|GENT|Pakhuis|
BEGNEGS00153001,DE BAERDEMAECKER NV|MERCATORDOK|9000|GENT|Pakhuis|
BEGNEGS00153002,DE BAERDEMAECKER NV|ALPHONSE SIFFERLAAN|9000|GENT|Pakhuis|
BEGNEGS00153003,DE BAERDEMAECKER NV|SIFFERDOK|9000|GENT|Pakhuis|
BEGNEGS00153004,DE BAERDEMAECKER NV|GROOTDOK|9000|GENT|Pakhuis|
BEGNEGS00153005,DE BAERDEMAECKER NV|GCT|9000|GENT|Pakhuis|
BEGNEGU00017001,G.T.S. NV - MAGAZIJN 1-2|MIDDENDOK KAAI 600/620|9000|GENT|Pakhuis|
BEGNEGU00043001,ZIEGLER||9000|GENT|Pakhuis|
BEGNEGU00050001,TRIFERTO BELGIUM NV||9000|GENT|Pakhuis|
BEGNEGU00060003,VOLVO CAR BELGIUM NV|VCDG|9000|GENT|Pakhuis|
BEGNEGU00064001,THEO MACHTELYNCK & FILS||9000|GENT|Pakhuis|
BEGNEGU00076001,TAMINCO||9000|GENT|Pakhuis|
BEGNEGU00084001,CITROSUCO EUROPE NV||9000|GENT|Pakhuis|
BEGNEGU00084003,STUKWERKERS||9000|GENT|Pakhuis|
BEGNEGU00108001,S.M.E.G. NV||9000|GENT|Pakhuis|
BEGNEGU00112001,SOLUTIA EUROPE BVBA||9000|GENT|Pakhuis|
BEGNEGU00114005,SAMSONITE EUROPE NV||9042|GENT|Pakhuis|
BEGNEGU00119001,LOUIS DREYFUS COMPANY BELGIUM||9000|GENT|Pakhuis|
BEGNEGU00119003,LOUIS DREYFUS COMPANY BELGIUM|DFDS SEAWAYS|9000|GENT|Pakhuis|
BEGNEGU00171001,SEA-TANK TERMINAL GENT||9000|GENT|Pakhuis|
BEGNEGV00013001,VOLVO GROUP BELGIUM NV|MERCATORDOK KAAI 2120TEM 2220|9000|GENT|Pakhuis|
BEGNEGV00015002,VOLVO CAR BELGIUM|P/A DFDS|9000|GENT|Pakhuis|
BEGNEGV00015003,VOLVO CAR BELGIUM|P/A STUKWERKERS|9000|GENT|Pakhuis|
BEGNEGV00016001,THEO MACHTELYNCK & FILS||9000|GENT|Pakhuis|
BEGNEGV00021001,EUROPORTS TERMINALS GENT NV|KAAIEN 270-290|9000|GENT|Pakhuis|
BEGNEGV00021002,EUROPORTS TERMINALS GENT NV|KAAIEN 850-890|9000|GENT|Pakhuis|
BEGNEGV00023001,TAMINCO||9000|GENT|Pakhuis|
BEGNEGV00025001,CITROSUCO EUROPE NV||9000|GENT|Pakhuis|
BEGNEGV00025002,CITROSUCO EUROPE NV|STUKWERKERS|9000|GENT|Pakhuis|
BEGNEGV00025003,STUKWERKERS|ALPHONSE SIFFERDOK 1000|9000|GENT|Pakhuis|
BEGNEGV00026001,"SEA-TANK TERMINAL NV|TANKPARK NR. 8,|9042|GENT|Pakhuis|"
BEGNEGV00028001,DFDS SEAWAYS NV||9000|GENT|Pakhuis|
BEGNEGV00030001,KATOEN NATIE CUSTOMS SERVICES NV||9042|GENT|Pakhuis|
BEGNEGV00031001,INTERFACE TERMINAL GENT NV|HAVEN 7650A|9042|GENT|Pakhuis|
BEGNEGV00033001,S.M.E.G. NV||9000|GENT|Pakhuis|
BEGNEGV00036001,LOUIS DREYFUS COMPANY BELGIUM||9000|GENT|Pakhuis|
BEGNEGV00037001,COMPAGNIE BELGE DE MANUTENTION - C.B.M. NV||9042|GENT|Pakhuis|
BEGNEGV00038001,HONDA MOTOR EUROPE LOGISTICS NV|HONDA MEL|9000|GENT|Pakhuis|
BEGNEGV00038002,HONDA MOTOR EUROPE LOGISTICS NV|HONDA HMEL PARKING LANDBERGIUSLAAN|9000|GENT|Pakhuis|
BEGNEGV00046001,VAN HOOREBEKE TIMBER N.V.|MAGAZIJN 1 -STRIJKERS|9042|DESTELDONK|Pakhuis|
BEGNEGV00046002,VAN HOOREBEKE TIMBER N.V.|MAGAZIJN 2 - KAAI|9042|DESTELDONK|Pakhuis|
BEGNEGV00048001,DE BAERDEMAECKER NV|MERCATORDOK|9000|GENT|Pakhuis|
BEGNEGV00048002,DE BAERDEMAECKER NV|ALPHONSE SIFFERLAAN|9000|GENT|Pakhuis|
BEGNEGV00048003,DE BAERDEMAECKER NV|SIFFERDOK|9000|GENT|Pakhuis|
BEGNEGV00048004,DE BAERDEMAECKER NV|GROOTDOK|9000|GENT|Pakhuis|
BEGNEGV00048005,DE BAERDEMAECKER NV|GCT|9042|GENT|Pakhuis|
BEGNEGVC001,GVC GENT||||D&A locatie|Verificatiebureeel
BEGNEGZ00095002,VOLVO GROUP BELGIUM NV|KAAIEN 2120T/M 2220|9000|GENT|Pakhuis|
BEGNEGZ00656001,VOLVO CAR BELGIUM NV||9000|GENT|Pakhuis|
BEGNEGZ00656003,VOLVO CAR BELGIUM NV|VCDG|9000|GENT|Pakhuis|
BEGNEGZ00656007,VOLVO CAR BELGIUM NV||9000|GENT|Pakhuis|
BEGNEGZ00656008,VOLVO CAR BELGIUM NV|PHILIPS LANDSBERGIUSLAAN 11|9000|GENT|Pakhuis|
BEGNEGZ00656009,VOLVO CAR BELGIUM NV|ALPHONSE SIFFERDOK|9000|GENT|Pakhuis|
BEGNEGZ00943001,ZIEGLER NV||9000|GENT|Pakhuis|
BEGNEGZ01162001,SOLUTIA EUROPE BVBA||9000|GENT|Pakhuis|
BEGNEGZ01708001,CITROSUCO EUROPE NV||9000|GENT|Pakhuis|
BEGNEGZ01708003,CITROSUCO EUROPE NV|STUKWERKERS|9000|GENT|Pakhuis|
BEGNEGZ01711001,ARCELORMITTAL BELGIUM NV||9042|GENT|Pakhuis|
BEGNEGZ01938001,THEO MACHTELYNCK & FILS||9000|GENT|Pakhuis|
BEGNEGZ01943001,STORA ENSO LANGERBRUGGE NV||9000|GENT|Pakhuis|
BEGNEGZ02150001,LOUIS DREYFUS COMPANY BELGIUM||9000|GENT|Pakhuis|
BEGNEGZ02259003,BRP EUROPE NV - STUKWERKERS|GEERAARD VAN DEN DAELELAAN|9000|GENT|Pakhuis|
BEGNEGZ02366001,TAMINCO||9000|GENT|Pakhuis|
BEGNEGZ02427001,HONDA MOTOR EUROPE LOGISTICS||9000|GENT|Pakhuis|
BEGNEGZ02431001,KATOEN NATIE CUSTOMS SERVICES NV||9042|GENT|Pakhuis|
BEGNEGZ02431002,KATOEN NATIE CUSTOMS SERVICES NV||9042|GENT|Pakhuis|
BEGNEGZ02744001,DE BAERDEMAECKER NV|STUKWERKERS|9000|GENT|Pakhuis|
BEGNEGZ02744002,DE BAERDEMAECKER NV|STUKWERKERS|9000|GENT|Pakhuis|
BEGNEGZ02744003,DE BAERDEMAECKER NV|STUKWERKERS|9000|GENT|Pakhuis|
BEGNEGZ02744004,DE BAERDEMAECKER NV|GCT|9000|GENT|Pakhuis|
BEGNEGZ03256001,DFDS SEAWAYS NV||9000|GENT|Pakhuis|
BEGNEHZ01212012,SHELL|PANTERSCHIPSTRAAT 108|9000|GENT|Pakhuis|
BEGNEIG03085001,IMG03085|ALPHONSE SIFFERDOK 990|9000|GENT|Pakhuis|BTW-entrepot
BEGNEIG3456001,"IMG3456|SIFFERDOK, KAAI 1010|9000|GENT|Pakhuis|BTW-entrepot"
BEGNEIG82468001,IMG82468|PORT ARTHURLAAN 172|9000|GENT|Pakhuis|BTW-entrepot
BEGNEIG82563001,IMG82563|EDDASTRAAT 21|9042|GENT|Pakhuis|BTW-entrepot
BEGNEIG82583001,IMG82583|MOERVAARTKAAI 12|9042|GENT|Pakhuis|BTW-entrepot
BEGNEIG86569001,IMG86569|SKALDENSTRAAT 1|9042|GENT|Pakhuis|BTW-entrepot
BEGNEIG86570001,IMG86570|SKALDENSTRAAT 1|9042|GENT|Pakhuis|BTW-entrepot
BEGNEIG8731001,IMG8731|PORT ARTHURLAAN 40|9000|GENT|Pakhuis|BTW-entrepot
BEGNEIG90365001,IMG90365|FARMANSTRAAT 43|9000|GENT|Pakhuis|BTW-entrepot
BEGNEP00014001,ZIEGLER NV|WIEDAUWKAAI 7|9000|GENT|Pakhuis|
BEGNEP00019001,BP EUROPA SA - BP BELGIUM||9000|GENT|Pakhuis|
BEGNEP00024001,DE BAERDEMAECKER NV|PORT ARTHURLAAN|9000|GENT|Pakhuis|
BEGNEP00024002,DE BAERDEMAECKER NV|GERAARD VAN DEN DAELELAAN|9000|GENT|Pakhuis|
BEGNEP00024003,"DE BAERDEMAECKER NV|MERCATORDOK, IMSAKKERLAAN|9000|GENT|Pakhuis|"
BEGNEP00109002,GANDEA|SINGEL 22|9000|GENT|Pakhuis|
BEGNEP0340001,P. BRUGGEMAN NV||9000|GENT|Pakhuis|
BEGNEVP000095001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP000095002,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP000466001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP000656001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP000934001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP001162001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP001708001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP001938001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP001939001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP001943001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP002023001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP002150001,LD CITRUS JUICE TERMINAL|G. VAN DEN DAELELAAN|9000|GENT|Pakhuis|
BEGNEVP002186001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP002366001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEVP002427001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNEZ0095002,VOLVO GROUP BELGIUM NV|ONTV- EN VERZENDINGSCENTRUM 2170|9000|GENT|Pakhuis|
BEGNEZ0095006,VOLVO EUROPA TRUCK NV||9000|GENT|Pakhuis|
BEGNEZ0095007,VOLVO TRUCK CORPORATION||9041|OOSTAKKER|Pakhuis|
BEGNEZ0095008,VOLVO PARTS CORPORATION||9000|GENT|Pakhuis|
BEGNEZ0095009,VOLVO PARTS CORPORATION||9042|DESTELDONK|Pakhuis|
BEGNEZ0656001,VOLVO CARS NV||9000|GENT|Pakhuis|
BEGNEZ0656002,VOLVO CARS NV||9000|GENT|Pakhuis|
BEGNEZ0656003,VOLVO CAR CORPORATION||9000|GENT|Pakhuis|
BEGNEZ0656004,VOLVO CARS NV||9000|GENT|Pakhuis|
BEGNEZ0656005,VOLVO CAR CORPORATION||9000|GENT|Pakhuis|
BEGNEZ0656006,VOLVO CAR CORPORATION||9000|GENT|Pakhuis|
BEGNEZ0656007,VOLVO CARS NV|HAVENNUMMER 2180A|9000|GENT|Pakhuis|
BEGNEZ0656008,VOLVO CARS NV||9000|GENT|Pakhuis|
BEGNEZ2023001,ALGIST BRUGGEMAN NV||9000|GENT|Pakhuis|
BEGNEZ2023002,VITABÉ BELGIUM BVBA||9000|GENT|Pakhuis|
BEGNEZ2427002,HONDA EUROPE NV||9000|GENT|Pakhuis|
BEGNEZ2427004,HONDA AUTOMOBILES SUISSE||9000|GENT|Pakhuis|
BEGNEZ2427005,HONDA HUNGARY||9000|GENT|Pakhuis|
BEGNEZ2427006,HONDA CESKA REPUBLICA SPOL.SRO||9000|GENT|Pakhuis|
BEGNEZ2427007,HONDA MOTOR EUROPE SOUTH||9000|GENT|Pakhuis|
BEGNEZ2427008,HONDA MOTOR EUROPE NORTH GMBH||9000|GENT|Pakhuis|
BEGNEZ2427009,HONDA ACCESS EUROPE NV||9000|GENT|Pakhuis|
BEGNEZ2427010,SRL HONDA TRADING ROMANIA||9000|GENT|Pakhuis|
BEGNEZ2427011,HONDA SUISSE SA||9000|GENT|Pakhuis|
BEGNK,GENK||||Zeehaven|
BEGNK001,ECS GENK||||Locatie in zeehaven|Aanlegplaats
BEGNKAU00029002,H. ESSERS - HAL 10H||3600|GENK|Pakhuis|
BEGNKAU00101003,KATOEN NATIE||3600|GENK|Pakhuis|
BEGNKAZ02431003,KTN TERMINAL GENK||3600|GENK|Pakhuis|
BEGNKB2099001,B-2099-B|GELEENLAAN 23|3600|GENK|Pakhuis|Publiek Douane-entrepot type B
BEGNKB3118101,CHIYODA N.V.|HENRY FORDLAAN 37|3600|GENK|Pakhuis|
BEGNKB3214101,NITTO EUROPE N.V.|EIKELAARSTRAAT 22|3600|GENK|Pakhuis|
BEGNKB3530701,"ASP AVIONICS N.V.|VLIEGPLEIN 2, BUS 1|3600|GENK|Pakhuis|"
BEGNKB3593801,SMETS AVIATION SERVICE N.V.|VLEIGPLEIN 2 BUS 2|3600|GENK|Pakhuis|
BEGNKB3689701,J.B. AVICON B.V.B.A.|EERDLAAN 3|3600|GENK|Pakhuis|
BEGNKCI00000001,DU PONT UK (BIJ ESSERS)|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKCU00001004,MAGAZIJN ESSERS INT TRANSPORT N.V.|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKCU000062,ESSERS|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKD0063001,D-0063-B|WESTERRING 2|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD1574001,D-1574-B|EIKELAARSTRAAT 28|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD1600001,D-1600-B|H. FORDLAAN|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD2057001,D-2057-B|WOUDSTRAAT 31|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD2059001,D-2059-B|EIKELAARSTRAAT 22|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD2062001,D-2062-B|GORDELWEG 15|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD2067001,D-2067-B|OOSTERRING Z/N|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD2081001,D-2081-B|HENRY FORDLAAN|3600|GENK|Pakhuis|Particulier Douane-entrepot type D
BEGNKD3632401,EUROPEAN SUPPORT CENTER B.V.B.A.|VLIEGPLEIN 2 BUS 3|3600|GENK|Pakhuis|
BEGNKD3663901,DAIKIN EUROPE N.V. / BIJ WIM BOSMAN SOLUTIONS - SYSTEMPLUS LOGISTIC SE|GELEENLAAN 12|3600|GENK|Pakhuis|
BEGNKE0155009,E-0155-B|MAGAZIJN BELSTOR|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE0186005,E-0186-B|HENRY FORDLAAN 8|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE0200001,E-0200-B|GELEENLAAN 23|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE1516001,E-1516-B|HALLEN 9 T/M 11|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE1516002,E-1516-B|HALLEN 1 T/M 5 EN HAL 7|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2093001,SERVICE MAGAZIJN LIMBURG N.V.|MIEËNBROEKSTRAAT  34|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2093002,SERVICE MAGAZIJN LIMBURG N.V.|SWINNENWIJERWEG 16|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2093003,SERVICE MAGAZIJN LIMBURG N.V.|KOLENHAVENSTRAAT 6|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2094001,E-2094-B|GELEENLAAN Z/NR|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2094002,E-2094-B|INDUSTRIEZONE GENK-ZUID 11|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2131001,ANSELL HEALTHCARE EUROPE N.V. / E-2131-B|H. ESSERSLAAN 45-47 (HAL 10F)|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2131002,ANSELL HEALTHCARE EUROPE NV|H. ESSERSLAAN 45-47 (HAL 10)|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE2233002,KATOEN NATIE CUSTOMS SERVICES N.V.|GELEENLAAN 23|3600|GENK|Pakhuis|Particulier Douane-entrepot type E
BEGNKE3213005,H. ESSERS & ZONEN|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKF0000001,ENTREPOT TYPE F||||Pakhuis|Publiek Douane-entrepot type A
BEGNKGVC001,GVC GENK||||D&A locatie|Verificatiebureeel
BEGNKHP00010004,HAL 6 VAN H. ESSERS|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHP00010005,DRY PORT|HENRI FORDLAAN 8|3600|GENK|Pakhuis|
BEGNKHP00058001,OPTIMA TRUCKS BVBA|EIKELAARSTRAAT 23|3600|GENK|Pakhuis|
BEGNKHP00058002,OPTIMA TRUCKS|EIKELAARSTRAAT 23|3600|GENK|Pakhuis|
BEGNKHP00059001,AGFA-GEVAERT NV (H. ESSERS)|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHP00071001,CONWED GENK|MARCEL HABETSLAAN 20|3600|GENK|Pakhuis|
BEGNKHP00072001,WAREHOUSE 2+3+4+5 (H. ESSERS)|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHP00072002,HAL 11G + 11 NIV 0 (H. ESSERS)|H. ESSERSLAAN 47|3600|GENK|Pakhuis|
BEGNKHP00072003,PFIZER SERVICE COMPANY BVBA (ESSERS)|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHP00078001,STOBART AUTOMOTIVE (CARCONNEX)|GORDELWEG Z/N|3600|GENK|Pakhuis|
BEGNKHP00086001,XPO LOGISTICS (INGERSOLL-RAND INTERNATIONAL)|GELEENLAAN 21|3600|GENK|Pakhuis|
BEGNKHP00094001,SYSTEMPLUS LOGISTICSERVICE NV|GELEENLAAN 33|3600|GENK|Pakhuis|
BEGNKHP00173001,V.L.M. BVBA|SLINGERWEG 56|3600|GENK|Pakhuis|
BEGNKHP00175001,EFTEC NV|HENRY FORDLAAN 1|3600|GENK|Pakhuis|
BEGNKHP00193001,DSM SPECIALTY COMPOUNDS NV|PANISWIJERSTRAAT 92|3600|GENK|Pakhuis|
BEGNKHP00193002,DSM SPECIALTY COMPOUNDS NV (KATOEN NATIE TERMINAL)|GELEENLAAN 23|3600|GENK|Pakhuis|
BEGNKHP00203001,Z-PARKET|JAN LATOSLAAN 9|3600|GENK|Pakhuis|
BEGNKHP00206001,AR METALLIZING NV|WOUDSTRAAT 6|3600|GENK|Pakhuis|
BEGNKHP00227001,H P PELZER NV|HENRY FORDLAAN 15|3600|GENK|Pakhuis|
BEGNKHP00238001,DECOMETA NV||3600|GENK|Pakhuis|
BEGNKHP00260001,HENGELHOEF CONCRETE JOINTS NV||3600|GENK|Pakhuis|
BEGNKHP00274001,SUMITOMO BAKELITE EUROPE|HENRY FORDLAAN 80|3600|GENK|Pakhuis|
BEGNKHP00274002,SUMITOMO BAKELITE EUROPE - MAGAZIJN ESSERS|ESSERSLAAN 46|3600|GENK|Pakhuis|
BEGNKHP00274003,SUMITOMO BAKELITE EUROPE - RHENUS-SML|MONDEOLAAN 2|3600|GENK|Pakhuis|
BEGNKHP00274004,RHENUS SML - MIEËNBROEKSTRAAT|MIEËNBROEKSTRAAT 34|3600|GENK|Pakhuis|
BEGNKHP00279001,ARCELORMITTAL BELGIUM NV|KANAALOEVER 3|3600|GENK|Pakhuis|
BEGNKHP00316001,KADE ELLIMETAL|MUNSTERENSTRAAT|3600|GENK|Pakhuis|
BEGNKHP00323001,MAGAZIJN H. ESSERS & ZONEN|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHP00323002,MAGAZIJN H. ESSERS HAL 10|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHP00323003,MAGAZIJN H. ESSERS HAL K|MONDEOLAAN 7|3600|GENK|Pakhuis|
BEGNKHP00326001,KATOEN NATIE TERMINAL GENK|GELEENLAAN 23|3600|GENK|Pakhuis|
BEGNKHP00328001,ANSELL - H.ESSERS HAL 10 D-E|H.ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHP00328002,ANSELL - H.ESSERS HAL 10 F-G|H.ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHP00337001,FACIL GENK|GELEENLAAN 20|3600|GENK|Pakhuis|
BEGNKHP00374001,RENT 4 LESS BVBA (STOBART AUTOMOTIVE)|EIKELAARSTRAAT 38|3600|GENK|Pakhuis|
BEGNKHP00381001,RHENUS SML NV|MIEËNBROEKSTRAAT 34|3600|GENK|Pakhuis|
BEGNKHP00381002,RHENUS SML|MONDEOLAAN 2|3600|GENK|Pakhuis|
BEGNKHP00384001,COEK ENGINEERING NV (LIMOX)|VAARTSTRAAT 27|3600|GENK|Pakhuis|
BEGNKHP00386001,GORDELWEG Z/N||3600|GENK|Pakhuis|
BEGNKHP00395001,CHIYODA EUROPA NV|HENRY FORDLAAN 37|3600|GENK|Pakhuis|
BEGNKHP00406001,APERAM STAINLESS BELGIUM NV|SWINNENWIJERWEG 5|3600|GENK|Pakhuis|
BEGNKHP00406002,APERAM STAINLESS BELGIUM NV (HAVEN GENK NV)|KOLENHAVENSTRAAT 6|3600|GENK|Pakhuis|
BEGNKHP00406003,APERAM STAINLESS BELGIUM NV (APERAM SERVICES & SOLUTIONS BENELUX)|BOSDEL 87|3600|GENK|Pakhuis|
BEGNKHP00460001,HAL 7 MAG ESSERS EN ZONEN INTERN TRANSPORT|TRANSPORTLAAN4|3600|GENK|Pakhuis|
BEGNKHP00468001,TERUMO EUROPEAN DISTRIBUTION CENTER GENK|BRIKKENOVENSTRAAT 48|3600|GENK|Pakhuis|
BEGNKHP00474001,HAVEN GENK NV|KOLENHAVENSTRAAT 6|3600|GENK|Pakhuis|
BEGNKHP00481001,IKEA|MERCURIUSLAAN 2|3600|GENK|Pakhuis|
BEGNKHP00494001,ROAM TECHNOLOGY NV|I.Z. POORT GENK GELEENLAAN 24|3600|GENK|Pakhuis|
BEGNKHP00524001,NITTO BELGIUM NV|EIKELAARSTRAAT 22|3600|GENK|Pakhuis|
BEGNKHP00606004,LIMELCO NV|SLINGERWEG 40|3600|GENK|Pakhuis|
BEGNKHP00633001,XPO LOGISTICS (INGERSOLL-RAND INDUSTRIAL IRELAND)|GELEENLAAN 21|3600|GENK|Pakhuis|
BEGNKHU00063001,RHENUS SML|MIEËNBROEKSTRAAT  34|3600|GENK|Pakhuis|
BEGNKHU00063002,RHENUS SML|SWINNENWIJERWEG 16|3600|GENK|Pakhuis|
BEGNKHU00088001,MAGAZIJN H. ESSERS HAL 7|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHU00088002,MAGAZIJN H. ESSERS HAL 10|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHU00098001,TERUMO EUROPEAN DISTRIBUTION CENTER GENK|BRIKKENOVENSTRAAT 48|3600|GENK|Pakhuis|
BEGNKHU00100001,HAVEN GENK NV|KOLENHAVENSTRAAT 6|3600|GENK|Pakhuis|
BEGNKHU00106001,GENK NOORD|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHU00106002,WIN|H. ESSERSLAAN Z/N|3600|GENK|Pakhuis|
BEGNKHU00107001,NITTO BELGIUM NV|EIKELAARSTRAAT 22|3600|GENK|Pakhuis|
BEGNKHU00117001,PFIZER SERVICE COMPANY BVBA (ESSERS)|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHV00007001,MAINFREIGHT|GELEENLAAN 33|3600|GENK|Pakhuis|
BEGNKHZ00300001,NITTO BELGIUM NV|EIKELAARSSTRAAT 22|3600|GENK|Pakhuis|
BEGNKHZ01212001,DOUANEAGENTSCHAP ESSERS NV (GENK NOORD)|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHZ01212002,DOUANEAGENTSCHAP ESSERS NV (GENK ZUID)|MONDEOLAAN 7|3600|GENK|Pakhuis|
BEGNKHZ01212003,DOUANEAGENTSCHAP ESSERS NV (WIN)|H. ESSERSLAAN Z/N|3600|GENK|Pakhuis|
BEGNKHZ01212004,DOUANEAGENTSCHAP ESSERS NV (DRYP)|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKHZ01787001,MAGAZIJN H. ESSERS EN ZONEN|HAL 7|3600|GENK|Pakhuis|
BEGNKHZ01787002,MAGAZIJN H. ESSERS EN ZONEN|HAL 10|3600|GENK|Pakhuis|
BEGNKHZ01787003,MAGAZIJNEN H. ESSERS & ZONEN|HAL K|3600|GENK|Pakhuis|
BEGNKHZ01839001,HAVEN GENK NV|KOLENHAVENSTRAAT 6|3600|GENK|Pakhuis|
BEGNKHZ02354001,IKEA DISTRIBUTION BENELUX NV|MERCURIUSLAAN 2|3600|GENK|Pakhuis|
BEGNKHZ02439001,RHENUS SML NV|MIEËNBROEKSTRAAT 34|3600|GENK|Pakhuis|
BEGNKHZ02439002,RHENUS SML NV|MONDEOLAAN 2|3600|GENK|Pakhuis|
BEGNKHZ02821001,HAL 10 D-E|H. ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHZ02821002,HAL 10 F-G|H.ESSERSLAAN 45-47|3600|GENK|Pakhuis|
BEGNKHZ03235001,H. ESSERS WINTERSLAG|H. ESSERSLAAN 45-47 HAL 10 H|3600|GENK|Pakhuis|
BEGNKIH00016001,IMH00016|TRANSPORTLAAN 4|3600|GENK|Pakhuis|BTW-entrepot
BEGNKIH006001,IMH006|HENRY FORDLAAN 20|3600|GENK|Pakhuis|BTW-entrepot
BEGNKIH013001,IMH013|KOLENHAVENSTRAAT 6|3600|GENK|Pakhuis|BTW-entrepot
BEGNKP00010001,K-HAL|MONDEOLAAN 7|3600|GENK|Pakhuis|
BEGNKP00010002,MAGAZIJN 1 T/M 5 + 7|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKP00010003,"MAGAZIJN 9, 10 EN 11|H. ESSERSLAAN Z/N|3600|GENK|Pakhuis|"
BEGNKP00048001,POLY VISION NV|INDUSTRIEZONE POORT GENK 7705|3600|GENK|Pakhuis|
BEGNKP00048002,POLY VISION NV (FORESCO PACKAGING NV)|EIKELAARSTRAAT 32|3600|GENK|Pakhuis|
BEGNKP00050001,ICL EUROPE|HENRY FORDLAAN 62|3600|GENK|Pakhuis|
BEGNKV00001001,DOUANEAGENTSCHAP ESSERS NV|TRANSPORTLAAN 4|3600|GENK|Pakhuis|
BEGNKV00001002,K-HAL GENK ZUID|MONDEOLAAN 7|3600|GENK|Pakhuis|
BEGNKV00004001,I.C.L. EUROPE NV|HENRY FORDLAAN 62|3600|GENK|Pakhuis|
BEGNKVP000002001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP000004001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP000007001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP000007002,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP000007003,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP000300001,NITTO EUROPE|EIKELAARSTRAAT 22|3600|GENK|Pakhuis|
BEGNKVP001348001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP001479001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP001589001,||||Pakhuis|Particulier Douane-entrepot type C
BEGNKVP001699001,||||Pakhuis|Particulier Douane-entrepot type C
