type,omschrijving
BEAESP1610001,NORBERT DENTRESSANGLE LOGISTICS|Z4 BROEKKOOI 160|1730|ASSE|Pakhuis|
BEAESVP001710001,||||Pakhuis|Particulier Douane-entrepot type C
BEAESVP00191001,XPO LOGISTICS|Z.4 BROEKOOI 160|1730|ASSE|Pakhuis|
BEAGEGP00451001,VERSTRAETE IML||9991|ADEGEM|Pakhuis|
BEAHLZ0988001,HOEBEN TRANSPORT NV|BOSSTRAAT 175|3930|HAMONT-ACHEL|Pakhuis|
BEAKNHP00199001,GOVAERTS RECYCLING NV|KOLMENSTRAAT 1324|3570|ALKEN|Pakhuis|
BEAKNHP00564001,NEARLY NEW PARTS|KOLMENSTRAAT 1309|3570|ALKEN|Pakhuis|
BEAKNP00044001,DATWYLER PHARMA PACKAGING BELGIUM NV|INDUSTRIETERREIN KOLMEN 1519|3570|ALKEN|Pakhuis|
BEAKNZ2136001,HELVOET PHARMA N.V.|INDUSTRIETERREIN KOLMEN 1519|3570|ALKEN|Pakhuis|
BEALBGP00415001,WIENERBERGER NV||8511|AALBEKE|Pakhuis|
BEALBP00100001,VANDECASTEELE HOUTIMPORT||8511|AALBEKE|Pakhuis|
BEAMLLP05003001,"ISOCELL GMBH|SCHOPPEN, AUSSENBORNER WEG 1|4770|AMEL|Pakhuis|"
BEAMLLP05004001,"GENTEN PGMBH (1)|SCHOPPEN, HALLBACH 19|4770|AMEL|Pakhuis|"
BEAMLLP05004002,"GENTEN PGMBH (BÜROS)|SCHOPPEN, AUSSENBORNER WEG 4|4770|AMEL|Pakhuis|"
BEAMLLP05006001,"PETER MÜLLER GMBH|MÖDERSCHEID, ZUR MORSHECK 49|4770|AMEL|Pakhuis|"
BEAMLLP05008002,"THOMMEN-SCHWALL PGMBH (T.A.T.)|BORN, KAISERBARACKE 18|4770|AMEL|Pakhuis|"
BEAMLLP05015001,"CPB AG|SCHOPPEN, AUSSENBORNER WEG 1|4770|AMEL|Pakhuis|"
BEAMLLP05020001,"BELWOOD AMEL AG|BORN, KAISERBARACKE 3|4770|AMEL|Pakhuis|"
BEAMLLP05026001,"KARL HUGO AG|BORN, ENGELSDORFERSTRASSE 13|4770|AMEL|Pakhuis|"
BEAMLLP05042001,"LENTZ FELIX PGMBH|BORN, KAISERBARACKE 14|4770|AMEL|Pakhuis|"
BEAMLLP05044001,"HILGER BAU - AMEL|BORN, VON-KORFF-STRASSE 6|4770|AMEL|Pakhuis|"
BEAMLLP05054001,"ISOCELL GMBH&CO KG (CPB AG)|SCHOPPEN, AUSSENBORNER WEG 1|4770|AMEL|Pakhuis|"
BEAMOLP00069001,KEMCO SPRL|Z.I. LES PLÉNESSES|4821|ANDRIMONT|Pakhuis|
BEAMOLP02941001,"DIESE-WOLLE GMBH|34, ROUTE ZÉNOBE GRAMME|4821|ANDRIMONT|Pakhuis|"
BEAMOLS00853001,MULTITRA SPRL|PARC INDUSTRIEL LES PLENESSES|4821|ANDRIMONT|Pakhuis|Publiek Douane-entrepot type B
BEAMOLU00861001,"BELDIMED SA|RUE ZÉNOBE GRAMME, 39|4821|ANDRIMONT|Pakhuis|"
BEAMOLU00867001,"IKRIS PHARMA INTERNATIONAL SPRL|RUE ZÉNOBE GRAMME, 39|4821|ANDRIMONT|Pakhuis|"
BEAMOLZ01857008,E.S. MULTITRA-VERVIERS|P.I. LES PLÉNESSES|4821|ANDRIMONT|Pakhuis|
BEAMOP1907001,SWIFF-TRAIN COMPANY LLC|PARC INDUSTRIEL LES PLÉNESSES|4821|ANDRIMONT|Pakhuis|
BEAMOP1934001,"MULTITRA SPRL|RUE ZÉNOBE GRAMME, 41|4821|ANDRIMONT|Pakhuis|"
BEAMOZ1857001,"EYNATTEN SERVICE|41, RUE ZÉNOBE GRAMME|4821|ANDRIMONT|Pakhuis|"
BEAMOZ1932001,"AVANTEX  S.A.|RUE DE RENOUPRÉ, N° 58|4821|ANDRIMONT|Pakhuis|"
BEANAM2561A33,||||Pakhuis|
BEANBB0827001,EIT||4031|ANGLEUR|Pakhuis|Publiek Douane-entrepot type B
BEANBLP00080002,EUROPORTS INLAND TERMINALS_RENORY|RUE DE RENORY 474|4031|ANGLEUR|Pakhuis|
BEANBLP00241004,RENORY ANGLEUR|VERSUS|4031|ANGLEUR|Pakhuis|
BEANBLP00255001,PORTMADE / LCT|RUE DE RENORY|4031|ANGLEUR|Pakhuis|LLP
BEANBLP02928003,ELOY WATER SA|RUE DE RENORY 478|4031|ANGLEUR|Pakhuis|
BEANBLS00876002,"EUROPORT INLAND TERMINALS|RUE DE RENORY, 474|4031|ANGLEUR|Pakhuis|"
BEANBLU008750001,"LIÈGE CONTAINER TERMINAL|RUE DE RENORY, 298|4031|ANGLEUR|Pakhuis|"
BEANBLV00015001,"LIÈGE CONTAINER TERMINAL|RUE DE RENORY, 298|4031|ANGLEUR|Pakhuis|"
BEANBP0906001,"POURTIER SAS|RUE DE RÉNORY, N° 475|4031|ANGLEUR|Pakhuis|"
